GENDER_R,AGE_R,AGEG5LFS,AGEG10LFS,ED_Level,EMPloyed,Full_part,self_employed,Years_wk,pub_priv,Mgr,Mgr_c,work_flexM,work_lrnM,liter_use,num_use,act_lrn,pvlitM,pvnumM,NFE12,FNFAET12,FNFE12JR,FNFAET12JR,FNFAET12NJR,NFEHRS
1,50,8,4,1,1,1,1,15,1,2, ,2,1.3333333333333333,1,1,2.3333333333333335,119.29182299999998,114.12191200000002,0,0,0,0,0,0
1,50,8,4,3,1,1,1,24,1,1,3,3.5,2.6666666666666665,4.083333333333333,2.8333333333333335,2.6666666666666665,308.45158299999997,312.08696599999996,1,1,1,1,0,160
2,50,8,4,3,1,1,1,11,1,2, ,5,4,4.083333333333333,4.333333333333333,3.8333333333333335,281.589345,275.135555,1,1,1,1,0,1600
1,50,8,4,3,1,1,1,24,1,1,2,3.75,3,3.1666666666666665,2.5,2.8333333333333335,319.875473,309.369051,1,1,0,0,1,30
1,50,8,4,3,1,1,1,6,1,1,3,3.25,2.6666666666666665,3.9166666666666665,2.3333333333333335,4.666666666666667,235.44778399999996,223.02587899999997,1,1,1,1,0,12
2,50,8,4,2,1,1,1,2,1,2, ,1,2,1,1,2.6666666666666665,272.76352699999995,274.56396800000005,0,0,0,0,0,0
2,50,8,4,1,1,1,1,5,1,2, ,1.5,1,1,1,1.5,179.91342300000002,150.50205100000002,0,0,0,0,0,0
2,50,8,4,3,1,1,1,25,2,2, ,2.5,3.3333333333333335,4.666666666666667,2.3333333333333335,3.1666666666666665,300.59394499999996,304.185299,0,0,0,0,0,0
1,50,8,4,2,1,1,2,32,1, , ,4,4,2.9166666666666665,3.1666666666666665,3.5,275.07004900000004,277.909726,1,1,1,1,0,56
2,50,8,4,2,1,1,1,5,1,2, ,1,3,2,2.3333333333333335,2,208.00035500000004,184.05720200000002,1,1,0,0,1,480
1,50,8,4,2,1,1,1,15,1,2, ,1,1.3333333333333333,1.9166666666666667,1,1.6666666666666667,271.28573300000005,271.00636199999997,1,1,1,1,0,4
2,50,8,4,3,1,2,2,5,1, , ,3.25,3,2.3333333333333335,2.5,3.5,313.656589,294.527289,1,1,0,0,1,800
2,50,8,4,2,1,1,2,18,1, , ,5,4,4.666666666666667,4.166666666666667,3.6666666666666665,280.465981,299.999284,0,0,0,0,0,0
2,50,8,4,2,1,1,2,20,1, , ,3.75,3.3333333333333335,1.9166666666666667,1.8333333333333333,3.6666666666666665,277.68828199999996,260.247977,0,0,0,0,0,0
1,50,8,4,2,1,1,2,20,1, , ,3.5,2.6666666666666665,2.8333333333333335,1.8333333333333333,2.5,296.535044,306.143232,0,0,0,0,0,0
1,50,8,4,2,1,1,1,25,1,1,1,2.75,1.3333333333333333,2.9166666666666665,2.6666666666666665,2.6666666666666665,280.682364,269.76157100000006,0,0,0,0,0,0
2,50,8,4,3,1,2,1,2,1,2, ,3,1.3333333333333333,2.5833333333333335,1.5,2.6666666666666665,263.92524199999997,272.85412299999996,1,1,1,1,0,120
1,50,8,4,2,1,1,2,31,1, , ,4,4,2.6666666666666665,3,4,265.897333,270.06520000000006,0,0,0,0,0,0
2,50,8,4,3,1,2,1,1,1,2, ,1,1,1,1,2.3333333333333335,251.91831200000001,248.17046,0,0,0,0,0,0
1,50,8,4,1,1,1,1,20,1,2, ,1,1.3333333333333333,2.4166666666666665,1.6666666666666667,2,210.69461300000003,189.63998800000002,0,0,0,0,0,0
1,50,8,4,2,1,1,1,28,1,2, ,3.25,2.6666666666666665,3.6666666666666665,1.3333333333333333,2.8333333333333335,246.705225,244.92070400000003,0,0,0,0,0,0
2,50,8,4,1,1,2,2,16,1, , ,2,2.6666666666666665,1,1,2.5,185.90145900000002,163.518189,0,0,0,0,0,0
2,50,8,4,2,1,1,2,3,1, , ,4,5.333333333333333,3.5,3.3333333333333335,3.5,219.80612400000004,211.97958699999998,1,1,1,1,0,24
2,50,8,4,1,1,2,1,1,1,2, ,2,2.3333333333333335,1.4166666666666667,1.6666666666666667,2.1666666666666665,247.53997400000003,249.887261,0,1,0,0,1,0
2,50,8,4,3,1,1,2,7,1, , ,5,5,3,3.1666666666666665,2.5,319.968631,313.73101499999996,0,0,0,0,0,0
2,50,8,4,1,1,1,1,20,2,2, ,2.5,3.6666666666666665,3,1,5,202.77903700000002,201.44150600000003,1,1,1,1,0,1280
1,50,8,4,1,1,1,1,30,1,1,1,2,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,160.96891800000003,163.131995,1,1,1,1,0,4
